Claim Number,Claim Feature,Policy Number,Policy Effective Date,Loss Description,Type of injury,Loss state,Loss Date,Insured Company Name,Paid Indemnity,Paid DCC,Outstanding Indemnity,Outstanding DCC,Adjuster Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0060,Delivery Damage,POL-GL-890345,2024-01-01,Furniture delivery damaged customer's hardwood floors,Property Damage,NY,2024-02-14,Premium Furniture Delivery,28000,4500,0,0,02/14/2024 - DELIVERY DAMAGE: Heavy dresser dragged across original 1920s hardwood floors. Deep gouges entire length of hallway. LIABILITY: Clear (100%) - Crew didn't use protection. | 02/15/2024 - DAMAGE ASSESSMENT: Antique heart pine flooring. Cannot be matched. Entire floor needs refinishing to blend repair. Historic home in Brooklyn Heights. | 02/20/2024 - COVERAGE CONFIRMED: Property damage during operations covered. No care/custody issue as floor not in our control. | 02/25/2024 - REPAIR QUOTE: $25K to properly restore antique flooring. Specialized contractor required. 2-week job with family displacement. | 03/05/2024 - SETTLEMENT: Paid $28K including inconvenience during repairs. Customer influential blogger - reputation risk high. | 03/15/2024 - CLOSED: Floor protection equipment now mandatory. Crew retraining on high-value home deliveries. Blog post was positive about response.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0061,Swimming Pool,POL-GL-123432,2023-06-01,Child nearly drowned due to inadequate supervision,Bodily Injury,CA,2024-03-05,Aquatic Center Management,125000,38000,0,0,"03/05/2024 - NEAR DROWNING: 6yo found unconscious in deep end. Lifeguard distracted on phone. LIABILITY ASSESSMENT: Very High (95%) - Clear breach of supervisory duty. | 03/06/2024 - MEDICAL: Child underwater 2-3 minutes. Hospitalized 3 days pediatric ICU. Lung complications but full recovery expected. | 03/10/2024 - INVESTIGATION: Lifeguard on personal phone. Required supervision ratios not maintained (1:25 instead of 1:10 for young children). | 03/15/2024 - COVERAGE: Premises liability clear. Previous incidents reviewed - concerning pattern of inadequate supervision. | 03/25/2024 - ATTORNEY: Family retained Panish Shea. High demands expected given near-death experience and systematic failures. | 04/05/2024 - SETTLEMENT: $125K avoiding litigation. Factors: Full recovery expected, but emotional trauma to family extreme. | 04/15/2024 - CLOSED: Lifeguard policies revised. Phone ban enforced. Supervision ratios increased. Video monitoring added.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0062,Stage Collapse,POL-GL-456876,2024-04-01,Outdoor concert stage partially collapsed,Bodily Injury,TX,2024-05-25,Live Nation Events LLC,285000,75000,215000,45000,"05/25/2024 - STAGE COLLAPSE: Support structure failed during performance. Band and crew injured. LIABILITY: High (80%) - Engineering defect in temporary structure. | 05/26/2024 - INJURIES: 8 injured total. Drummer critical with spinal injury at T6. Others various fractures and lacerations. SEVERITY SCORES: 9/10 to 3/10. | 05/30/2024 - INVESTIGATION: Stage company cut corners on support beams. Load calculations wrong. Prior near-miss at previous event not reported. | 06/05/2024 - COVERAGE: Primary CGL $1M exhausting quickly. Excess carrier involved. Multiple claimants, catastrophic injuries. | 06/15/2024 - LITIGATION: Multiple suits filed Harris County. Venue, promoter, stage company all named. Complex finger-pointing beginning. | 06/25/2024 - PARTIAL SETTLEMENTS: Minor injuries resolved $285K total. Catastrophic injury claims ongoing. | ONGOING: Drummer paralyzed. Lifetime care costs estimated $4M+. Seven-figure exposure remains.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0063,Bed Bugs,POL-GL-789876,2023-10-01,Hotel guest bitten by bed bugs,Bodily Injury,NY,2024-01-08,Manhattan Boutique Hotels,32000,9500,0,0,"01/08/2024 - BED BUG CLAIM: Guest covered in bites after 3-night stay in luxury hotel. LIABILITY ASSESSMENT: High (85%) - Infestation confirmed in multiple rooms. | 01/09/2024 - INVESTIGATION: Housekeeping reports of bed bugs ignored for 2 weeks. Management prioritized occupancy over remediation. | 01/15/2024 - MEDICAL: Guest Rebecca Chen (42yo) - severe allergic reaction to bites, secondary infection from scratching. Scarring on arms and legs. INJURY SEVERITY: 4/10. | 01/20/2024 - COVERAGE: Bodily injury from premises condition covered. Prior similar claim 6 months ago. Pattern of negligence emerging. | 01/30/2024 - PUBLIC HEALTH: NYC Health Dept citations issued. Social media posts going viral. Reputation damage severe. | 02/10/2024 - SETTLEMENT: $32K for medical, suffering, and agreement to remove social media posts. Quick resolution critical for reputation. | 02/20/2024 - CLOSED: Professional remediation completed all rooms. New inspection protocol every 2 weeks. Online reputation management engaged.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0064,Falling Object,POL-GL-234987,2024-02-01,Sign fell from building injuring pedestrian,Bodily Injury,IL,2024-04-15,Chicago Retail Properties,78000,18000,0,0,"04/15/2024 - FALLING SIGN: Heavy metal sign detached in normal weather, struck pedestrian. LIABILITY: Very High (95%) - Mounting brackets corroded, no inspection program. | 04/16/2024 - INJURY: Michael O'Brien (51yo) struck on shoulder. Rotator cuff tear requiring surgery. Dominant arm affected. INJURY SEVERITY SCORE: 6/10. | 04/20/2024 - INVESTIGATION: Sign mounting 20 years old. Severe corrosion visible. Other signs on building similarly deteriorated. Systematic neglect. | 04/25/2024 - COVERAGE: Premises liability for building exterior covered. $2M limit. City ordinance requires annual sign inspection - violated. | 05/05/2024 - MEDICAL: Surgery required. $62K total medical costs. Physical therapy 6 months. Construction worker, can't return to heavy labor. | 05/15/2024 - SETTLEMENT: $78K inclusive all damages. Included future medical and vocational retraining costs. | 05/25/2024 - CLOSED: Building-wide sign inspection and replacement program. $200K investment to prevent recurrence.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0065,Trampoline Park,POL-GL-567098,2023-09-01,Patron injured attempting backflip,Bodily Injury,OH,2024-05-30,Jump Zone Entertainment,45000,12000,0,0,"05/30/2024 - TRAMPOLINE INJURY: Adult attempted backflip, landed on neck. Staff encouraged dangerous trick. LIABILITY: Moderate (65%) - Assumption of risk but staff encouragement key. | 05/31/2024 - MEDICAL: David Park (35yo) - cervical strain, Grade 2 concussion. ER treatment, follow-up with neurologist. INJURY SEVERITY: 5/10. | 06/05/2024 - INVESTIGATION: Staff member demonstrated backflip, encouraged patron to try despite obvious lack of skill. Violation of company policy. | 06/10/2024 - COVERAGE: Despite waiver, staff encouragement creates liability. Previous similar claims concerning. Aggregate erosion issue. | 06/15/2024 - MEDICAL BILLS: $38K including imaging, specialist visits, PT. Missed 4 weeks work as accountant. Good recovery expected. | 06/25/2024 - SETTLEMENT: $45K quick resolution. Patron partially at fault but staff actions egregious. | 07/05/2024 - CLOSED: Staff retraining on safety over entertainment. Trick encouragement now grounds for termination.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0066,Renovation Damage,POL-GL-890876,2024-01-01,Contractor damaged historical building features,Property Damage,MA,2024-02-28,Boston Historic Renovations,95000,25000,0,0,"02/28/2024 - HISTORIC DAMAGE: Original 1890s ornamental plasterwork destroyed during renovation. Irreplaceable architectural details. LIABILITY: Clear (100%) - No protection measures taken. | 03/01/2024 - ASSESSMENT: Museum-quality craftsmanship destroyed. Historic commission involvement. Cannot be authentically replaced, only recreated. | 03/05/2024 - COVERAGE: Property damage covered. Valuable papers/property exclusion doesn't apply to building features. | 03/15/2024 - RESTORATION EXPERT: Can recreate appearance but loses historical authenticity. $85K estimate for master craftsman work. | 03/25/2024 - SETTLEMENT: Paid $95K including loss of historical value component. Building's landmark status affected. | 04/05/2024 - CLOSED: Specialized training for historical properties now required. Historic renovation certification implemented.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0067,Daycare Injury,POL-GL-123098,2023-11-01,Toddler injured on playground equipment,Bodily Injury,WA,2024-06-12,Little Stars Daycare,38000,9500,0,0,"06/12/2024 - PLAYGROUND FALL: 3yo fell from climber designed for older children. No age-appropriate zones. LIABILITY: High (85%) - Equipment exceeded age recommendations. | 06/13/2024 - INJURY: Emma Wilson - broken arm at growth plate, possible long-term effects. Requires pediatric orthopedic specialist. INJURY SEVERITY: 6/10. | 06/17/2024 - INVESTIGATION: Equipment clearly marked for ages 5-12. Inadequate supervision allowed toddler access. State licensing violation. | 06/22/2024 - COVERAGE: CGL covers daycare operations. Prior claim for similar age-inappropriate injury. Pattern emerging. | 06/28/2024 - MEDICAL: $32K including specialist consultations. Growth plate damage may affect arm development. Monitoring needed through adolescence. | 07/08/2024 - SETTLEMENT: $38K settled quickly due to clear violations and potential long-term effects. | 07/15/2024 - CLOSED: Age-appropriate equipment zones created with physical barriers. State licensing review passed.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0068,Catering Food,POL-GL-456321,2024-03-01,Wedding guests food poisoning from catered event,Bodily Injury,FL,2024-04-22,Elegant Events Catering,115000,22000,0,0,04/22/2024 - Mass Illness: 45 of 150 wedding guests became ill. Shrimp contaminated. | 04/23/2024 - Health Dept: Improper temperature control confirmed. Citations issued. | 04/28/2024 - Medical: 8 hospitalized. Two elderly guests ICU admission. | 05/05/2024 - Coverage: Products/completed ops for catering covered. | 05/15/2024 - Claims: 28 formal claims ranging from $1K to $15K. | 05/25/2024 - Global Settlement: $115K to resolve all claims. | 06/05/2024 - Closed: HACCP protocols implemented. Staff certified.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0069,Slip on Ice,POL-GL-789543,2023-12-01,Customer slipped on untreated icy walkway,Bodily Injury,MN,2024-01-18,Twin Cities Retail Center,52000,11000,0,0,"01/18/2024 - Ice Fall: Customer fell on untreated walkway at 7 AM opening. | 01/19/2024 - Investigation: Snow removal contractor arrived late. No salt applied. | 01/23/2024 - Injury: 55yo woman, hip fracture. Surgery required. | 01/28/2024 - Coverage: Premises liability clear. Winter maintenance failure. | 02/08/2024 - Medical: $45K surgery and rehab. Good recovery. | 02/18/2024 - Settlement: $52K inclusive. | 02/28/2024 - Closed: 24-hour snow removal contract implemented.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0070,Defamation,POL-GL-234765,2024-02-01,Employee made defamatory statements about competitor,Personal Injury,CA,2024-05-05,Tech Solutions Corp,0,15000,65000,10000,05/05/2024 - Defamation Claim: Sales rep told customers competitor under FBI investigation. | 05/06/2024 - Investigation: Multiple customers confirm statements. No factual basis. | 05/10/2024 - Coverage: Personal injury - slander covered under CGL. | 05/20/2024 - Demand Letter: $200K for lost sales and reputation damage. | 05/30/2024 - Litigation: Filed Santa Clara Superior Court. | 06/10/2024 - Defense: Arguing opinion privilege. Weak position. | Ongoing: Settlement negotiations. Employee terminated.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0071,Gym Equipment,POL-GL-567432,2023-08-01,Weight machine cable snapped causing injury,Bodily Injury,NY,2024-03-10,Fitness First Gyms,68000,14000,0,0,"03/10/2024 - Equipment Failure: Lat pulldown cable snapped mid-exercise. | 03/11/2024 - Injury: Bar struck member in face. Broken nose, dental damage. | 03/15/2024 - Investigation: Cable frayed. Inspection logs falsified. | 03/20/2024 - Coverage: Premises liability for equipment maintenance. | 03/30/2024 - Medical: $55K including dental implants. | 04/10/2024 - Settlement: $68K prompt payment. | 04/20/2024 - Closed: Third-party equipment inspection service retained.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0072,Amusement Ride,POL-GL-890765,2024-04-01,Carnival ride malfunction caused injuries,Bodily Injury,TX,2024-06-25,Texas Traveling Carnival,195000,45000,305000,55000,"06/25/2024 - Ride Malfunction: Spinning ride didn't slow properly. Multiple injuries. | 06/26/2024 - Injuries: 12 riders injured, 3 serious including spinal injury. | 06/30/2024 - Investigation: Brake system failure. Maintenance records missing. | 07/05/2024 - Coverage: CGL applies. Aggregate exposure concern. | 07/10/2024 - Litigation: Mass tort situation developing. | 07/15/2024 - Partial Settlements: Minor injuries $195K paid. | Ongoing: Serious injuries outstanding. Excess carrier noticed.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0073,Tree Service,POL-GL-123876,2023-07-01,Tree fell wrong direction damaging house,Property Damage,GA,2024-04-08,Southern Tree Experts,125000,18000,0,0,"04/08/2024 - Tree Accident: Large oak fell opposite intended direction. | 04/09/2024 - Damage: Crushed garage, 2 vehicles, damaged house roof. | 04/14/2024 - Investigation: Improper notch cut. Supervisor not present. | 04/19/2024 - Coverage: Property damage from operations covered. | 04/28/2024 - Damage Total: Structure $85K, vehicles $40K. | 05/08/2024 - Settlement: Paid promptly full damages. | 05/18/2024 - Closed: Certified arborist now required on all jobs.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0074,Tanning Bed,POL-GL-456789,2024-01-01,Customer burned in malfunctioning tanning bed,Bodily Injury,NV,2024-02-20,Vegas Glow Tanning,28500,6500,0,0,02/20/2024 - Tanning Injury: Timer malfunction caused severe burns. | 02/21/2024 - Medical: Second degree burns on back and legs. | 02/25/2024 - Investigation: Timer had been acting up. Not repaired. | 03/01/2024 - Coverage: BI from equipment covered. | 03/10/2024 - Medical Bills: $24K including burn treatment. | 03/20/2024 - Settlement: $28.5K quick resolution. | 03/30/2024 - Closed: All equipment replaced with new timers.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0075,Parking Valet,POL-GL-789234,2023-09-01,Valet crashed customer's luxury vehicle,Property Damage,CA,2024-05-18,Elite Valet Services,95000,12000,0,0,05/18/2024 - Valet Accident: Driver hit pillar in garage. Tesla Model S damaged. | 05/19/2024 - Damage: $89K repair estimate. Frame damage. | 05/24/2024 - Coverage: Garagekeepers liability endorsement applies. | 05/30/2024 - Investigation: Valet unlicensed. Background check failure. | 06/08/2024 - Settlement: Paid $95K including rental and diminished value. | 06/18/2024 - Closed: Licensing verification system implemented.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0076,Store Shooting,POL-GL-234098,2024-02-01,Customer injured in robbery attempt,Bodily Injury,IL,2024-06-30,Quick Stop Markets,155000,42000,245000,38000,06/30/2024 - Robbery Shooting: Customer shot during armed robbery. Prior incidents. | 07/01/2024 - Security Review: No guards despite high crime area. | 07/05/2024 - Injury: Gunshot to leg. Permanent mobility issues. | 07/10/2024 - Coverage: Premises liability. Foreseeable crime argument. | 07/15/2024 - Litigation: Filed Cook County. Negligent security focus. | 07/20/2024 - Partial Payment: Initial medical covered. | Ongoing: Settlement negotiations difficult. Punitive exposure.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0077,Bounce House,POL-GL-567654,2023-06-01,Child flew out of bounce house,Bodily Injury,AZ,2024-03-14,Party Time Rentals,38000,8500,0,0,"03/14/2024 - Bounce House: Child bounced out through inadequate netting. | 03/15/2024 - Injury: 7yo concussion, fractured elbow. | 03/20/2024 - Investigation: Netting had tears. Not properly secured. | 03/25/2024 - Coverage: CGL covers inflatable rentals. | 04/02/2024 - Medical: $32K including surgery. | 04/12/2024 - Settlement: $38K prompt payment. | 04/22/2024 - Closed: Daily equipment inspection checklist created.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0078,Moving Walkway,POL-GL-890432,2024-01-01,Airport moving walkway sudden stop,Bodily Injury,GA,2024-04-25,Airport Services Corp,88000,19000,0,0,"04/25/2024 - Walkway Incident: Sudden stop threw elderly passenger forward. | 04/26/2024 - Injuries: Hip fracture, facial lacerations. 78yo traveler. | 04/30/2024 - Investigation: Sensor malfunction. Maintenance overdue. | 05/05/2024 - Coverage: Premises liability as contractor to airport. | 05/15/2024 - Medical: $72K including hip replacement. | 05/25/2024 - Settlement: $88K considering age and clear liability. | 06/05/2024 - Closed: Preventive maintenance schedule enhanced.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0079,Chemical Burn,POL-GL-123567,2023-11-01,Cleaning chemical burned hotel guest,Bodily Injury,NY,2024-05-02,Metropolitan Hotel Group,42000,11000,0,0,05/02/2024 - Chemical Exposure: Guest used shower after cleaning. Chemical residue. | 05/03/2024 - Injury: Chemical burns on feet and legs. Painful recovery. | 05/07/2024 - Investigation: Housekeeping didn't rinse properly. Training issue. | 05/12/2024 - Coverage: BI from premises operations covered. | 05/20/2024 - Medical: $35K including wound care and scarring treatment. | 05/30/2024 - Settlement: $42K includes future scar revision. | 06/10/2024 - Closed: New chemical handling protocols and training.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0080,Ski Resort,POL-GL-456098,2024-01-01,Ski lift malfunction caused fall,Bodily Injury,CO,2024-01-22,Rocky Mountain Ski Resort,165000,38000,0,0,"01/22/2024 - Lift Accident: Chair detached from cable. 2 skiers fell 20 feet. | 01/23/2024 - Injuries: One broken leg, one spinal compression fractures. | 01/27/2024 - Investigation: Cable grip failure. Inspection missed defect. | 02/01/2024 - Coverage: CGL covers ski operations. High limits. | 02/10/2024 - Medical: Combined $145K. Ongoing PT needed. | 02/20/2024 - Settlement: $165K global for both skiers. | 03/01/2024 - Closed: Lift inspection protocol completely revised.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0081,Tattoo Parlor,POL-GL-789098,2023-08-01,Tattoo infection due to contaminated ink,Bodily Injury,CA,2024-02-15,Ink Masters Studio,35000,9000,0,0,02/15/2024 - Infection Claim: Client developed MRSA infection post-tattoo. | 02/16/2024 - Investigation: Ink batch contaminated. Multiple clients affected. | 02/20/2024 - Medical: Hospitalization required. Permanent scarring. | 02/25/2024 - Coverage: Professional liability endorsement applies. | 03/05/2024 - Health Dept: Shut down pending investigation. | 03/15/2024 - Settlement: $35K for medical and disfigurement. | 03/25/2024 - Closed: New sterilization protocols. Single-use inks only.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0082,Escape Room,POL-GL-234234,2024-02-01,Participant injured in escape room,Bodily Injury,TX,2024-06-20,Mystery Escape Adventures,29000,7500,0,0,06/20/2024 - Escape Room: Participant cut on sharp prop edge. | 06/21/2024 - Injury: Deep laceration requiring 20 stitches. Nerve involvement. | 06/25/2024 - Investigation: Prop had exposed metal. Not padded. | 06/30/2024 - Coverage: Premises liability for recreational facility. | 07/08/2024 - Medical: $24K including nerve repair. | 07/18/2024 - Settlement: $29K prompt resolution. | 07/25/2024 - Closed: All props safety inspected and modified.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0083,Dog Park,POL-GL-567876,2023-10-01,Dog attack at commercial dog park,Bodily Injury,WA,2024-03-28,Puppy Paradise LLC,48000,12000,0,0,03/28/2024 - Dog Attack: Aggressive dog attacked another dog and owner. | 03/29/2024 - Injuries: Owner bitten breaking up fight. Hand surgery needed. | 04/02/2024 - Investigation: Known aggressive dog. Should have been banned. | 04/07/2024 - Coverage: Premises liability. Failure to maintain safe environment. | 04/17/2024 - Medical: $40K including hand surgery and therapy. | 04/27/2024 - Settlement: $48K considering clear negligence. | 05/07/2024 - Closed: Temperament testing now required.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0084,Hair Salon,POL-GL-890543,2024-03-01,Chemical hair treatment caused severe reaction,Bodily Injury,IL,2024-05-12,Luxe Hair Studio,31000,6500,0,0,05/12/2024 - Chemical Burn: Keratin treatment caused scalp burns and hair loss. | 05/13/2024 - Medical: ER treatment for chemical burns. Dermatologist follow-up. | 05/17/2024 - Investigation: Product left on too long. Stylist distracted. | 05/22/2024 - Coverage: Professional liability for salon services. | 05/30/2024 - Damages: Medical $26K plus emotional distress for hair loss. | 06/10/2024 - Settlement: $31K includes future treatments. | 06/20/2024 - Closed: Timer system implemented for chemical treatments.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0085,Go-Kart Track,POL-GL-123345,2023-07-01,Go-kart collision due to track defect,Bodily Injury,FL,2024-04-14,Speed Zone Racing,72000,16000,0,0,"04/14/2024 - Track Accident: Barrier gap caused kart to leave track. | 04/15/2024 - Injuries: Driver ejected. Fractured ribs, internal bruising. | 04/19/2024 - Investigation: Known barrier issue. Temporary fix failed. | 04/24/2024 - Coverage: Premises liability for recreational facility. | 05/04/2024 - Medical: $58K including trauma center care. | 05/14/2024 - Settlement: $72K given clear track defect. | 05/24/2024 - Closed: Complete barrier system replacement.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0086,Office Building,POL-GL-456543,2024-01-01,Revolving door malfunction trapped visitor,Bodily Injury,NY,2024-02-05,Manhattan Office Properties,38500,11500,0,0,"02/05/2024 - Door Malfunction: Revolving door stopped suddenly, trapped elderly man. | 02/06/2024 - Injury: Panic attack, fell attempting escape. Shoulder injury. | 02/10/2024 - Investigation: Sensor failure. No emergency release training. | 02/15/2024 - Coverage: Premises liability clear. | 02/25/2024 - Medical: $32K including cardiac workup and orthopedic care. | 03/07/2024 - Settlement: $38.5K includes emotional distress. | 03/17/2024 - Closed: Emergency protocols and daily testing implemented.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0087,Laser Tag,POL-GL-789765,2023-09-01,Player ran into wall in dark arena,Bodily Injury,OH,2024-05-22,Cosmic Laser Adventures,19500,5500,0,0,"05/22/2024 - Arena Accident: Player ran full speed into unmarked wall. | 05/23/2024 - Injury: Broken nose, mild concussion. | 05/27/2024 - Investigation: Wall padding removed for cleaning, not replaced. | 06/01/2024 - Coverage: Premises liability for recreational facility. | 06/10/2024 - Medical: $16K ER and follow-up care. | 06/20/2024 - Settlement: $19.5K quick resolution. | 06/30/2024 - Closed: Reflective markers added to all obstacles.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0088,Museum,POL-GL-234876,2024-02-01,Visitor tripped on unmarked step,Bodily Injury,MA,2024-06-08,Boston Cultural Museum,44000,9500,0,0,"06/08/2024 - Trip and Fall: Unmarked elevation change in dimly lit gallery. | 06/09/2024 - Injury: 68yo woman, fractured ankle. | 06/13/2024 - Investigation: Multiple prior complaints about same hazard. | 06/18/2024 - Coverage: Premises liability applicable. | 06/28/2024 - Medical: $37K including surgery. | 07/08/2024 - Settlement: $44K considering clear notice of hazard. | 07/18/2024 - Closed: LED strips installed at all elevation changes.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0089,Window Cleaning,POL-GL-567234,2023-11-01,Falling equipment injured pedestrian below,Bodily Injury,IL,2024-03-20,Clear View Window Services,58000,14000,0,0,"03/20/2024 - Dropped Equipment: Squeegee fell 10 stories, struck pedestrian. | 03/21/2024 - Injury: Severe head laceration, concussion. | 03/25/2024 - Investigation: Equipment tether broken. Not inspected. | 03/30/2024 - Coverage: CGL covers window cleaning operations. | 04/10/2024 - Medical: $48K including neuro consults. | 04/20/2024 - Settlement: $58K prompt payment. | 04/30/2024 - Closed: Daily equipment inspection mandatory.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0090,Bar Fight,POL-GL-890123,2024-01-01,Overserved patron assaulted other customer,Bodily Injury,NV,2024-04-30,Vegas Nights Bar & Grill,125000,32000,0,0,04/30/2024 - Bar Assault: Intoxicated patron attacked couple. Bottle used as weapon. | 05/01/2024 - Injuries: Male - facial lacerations. Female - broken wrist defending. | 05/05/2024 - Investigation: Patron served 12 drinks in 3 hours. Obviously drunk. | 05/10/2024 - Coverage: Liquor liability and A&B coverage both apply. | 05/20/2024 - Medical: Combined $95K. Plastic surgery needed. | 05/30/2024 - Settlement: $125K to avoid dram shop litigation. | 06/10/2024 - Closed: Mandatory intoxication training completed.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0091,Summer Camp,POL-GL-123654,2023-05-01,Child injured in archery accident,Bodily Injury,ME,2024-06-15,Pine Woods Summer Camp,42000,11000,0,0,06/15/2024 - Archery Accident: Arrow released while child downrange. | 06/16/2024 - Injury: Arrow through forearm. Miraculous no major damage. | 06/20/2024 - Investigation: Counselor didn't follow safety protocol. | 06/25/2024 - Coverage: CGL covers camp operations. | 07/05/2024 - Medical: $35K including surgery and therapy. | 07/15/2024 - Settlement: $42K quick resolution. | 07/25/2024 - Closed: Archery program suspended pending retraining.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0092,Spa Treatment,POL-GL-456987,2024-03-01,Hot stone massage caused burns,Bodily Injury,CA,2024-05-28,Serenity Day Spa,22500,6000,0,0,05/28/2024 - Spa Burn: Massage stones overheated. Second degree burns. | 05/29/2024 - Medical: Multiple burn sites on back. Scarring likely. | 06/02/2024 - Investigation: Stone warmer malfunctioned. No thermometer used. | 06/07/2024 - Coverage: Professional liability for spa services. | 06/17/2024 - Treatment: $18K including burn care and scar treatment. | 06/27/2024 - Settlement: $22.5K for current and future care. | 07/07/2024 - Closed: Temperature monitoring equipment required.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0093,Contractor E&O,POL-GL-789432,2023-08-01,HVAC design error caused system failure,Property Damage,TX,2024-02-12,Premier Mechanical Design,0,28000,185000,32000,02/12/2024 - Design Error: HVAC system undersized for building. Complete failure. | 02/13/2024 - Investigation: Load calculations incorrect. Junior engineer error. | 02/17/2024 - Damages: Must replace entire system. Business interruption. | 02/22/2024 - Coverage: Professional liability for design services. | 03/01/2024 - Litigation Filed: Harris County #2024-12345. | 03/15/2024 - Defense Counsel: Norton Rose retained. | 04/01/2024 - Ongoing: Mediation scheduled. High exposure case.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0094,Concert Venue,POL-GL-234543,2024-02-01,Crowd surge at concert caused injuries,Bodily Injury,CA,2024-06-22,LA Entertainment Complex,285000,68000,415000,82000,"06/22/2024 - Crowd Surge: Barrier collapse during popular act. Mass casualty event. | 06/23/2024 - Injuries: 45 injured, 8 serious including trampling victims. | 06/27/2024 - Investigation: Overcrowding. Security protocols failed. | 07/02/2024 - Coverage: Primary limit exhausted. Excess triggered. | 07/10/2024 - Litigation: Class action filed. Criminal investigation ongoing. | 07/15/2024 - Partial Settlements: Minor injuries $285K. | Ongoing: Catastrophic injury claims pending. Eight-figure exposure.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0095,Batting Cage,POL-GL-567098,2023-06-01,Pitching machine malfunction hit batter,Bodily Injury,FL,2024-04-10,Home Run Training Center,31000,7500,0,0,"04/10/2024 - Machine Malfunction: Ball released at wrong angle, hit face. | 04/11/2024 - Injury: Orbital fracture, dental damage. | 04/15/2024 - Investigation: Machine timing belt slipping. Known issue. | 04/20/2024 - Coverage: Premises liability for sports facility. | 04/30/2024 - Medical: $26K including maxillofacial surgery. | 05/10/2024 - Settlement: $31K considering equipment negligence. | 05/20/2024 - Closed: All machines replaced with newer models.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0096,Storage Unit,POL-GL-890765,2024-01-01,Fire destroyed tenant property in storage,Property Damage,AZ,2024-03-05,Desert Storage Solutions,145000,22000,0,0,03/05/2024 - Storage Fire: Electrical fire spread to 8 units. Total losses. | 03/06/2024 - Investigation: Outdated wiring. No sprinkler system. | 03/10/2024 - Claims: 8 tenants with varying losses. Some uninsured. | 03/15/2024 - Coverage: Legal liability coverage applies with sublimit. | 03/25/2024 - Settlement Breakdown: Paid based on proven values. | 04/05/2024 - Total Paid: $145K to all claimants. | 04/15/2024 - Closed: Facility rewired and sprinklers installed.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0097,Fitness Class,POL-GL-123789,2023-09-01,Instructor dropped weight on participant,Bodily Injury,NY,2024-05-15,Elite Fitness Studios,48000,11000,0,0,"05/15/2024 - Weight Drop: Instructor demonstrating, dropped 45lb weight on client's foot. | 05/16/2024 - Injury: Multiple metatarsal fractures. | 05/20/2024 - Investigation: Instructor attempting advanced move beyond capability. | 05/25/2024 - Coverage: Professional liability and general liability. | 06/05/2024 - Medical: $39K including surgery and PT. | 06/15/2024 - Settlement: $48K includes lost wages (dancer). | 06/25/2024 - Closed: Instructor certification requirements enhanced.",,,,,,,,,,,,,,,,,,,,,,,,,,
